from/to,Bielefeld,Gütersloh,Herford,Lippe,Paderborn,Minden-Lübbecke,Osnabrück,Region Hannover,Düsseldorf (S),Münster (S),Warendorf,Soest,Dortmund (S),Essen (S),Ennepe-Ruhr-Kreis,Herne (S),Gelsenkirchen (S),Recklinghausen,Duisburg (S),Mettmann,Wuppertal (S),Bochum (S),Unna,Hagen(S),Bonn(S),Rhein-Sieg-Kreis,Köln (S),Rhein-Erft-Kreis,Ahrweiler,Euskirchen,Frankfurt am Main (S),Rheinisch-Bergischer Kreis,Koblenz (S),Neuwied,Staedteregion Aachen,Mayen-Koblenz,Borken,Coesfeld,Steinfurt,Wesel,Kleve,Grafschaft Bentheim,Emsland,Bottrop (S),Oberhausen (S),Muehlheim an der Ruhr (S),Hamm (S),Maerkischer Kreis,Krefeld (S),Rhein-Kreis Neuss,Viersen,Dueren,Moenchengladbach (S),Remscheid (S),Vulkaneifel,Eifelkreis Bitburg-Prüm,Osnabrueck (S),Hochsauerlandkreis,Schaumburg,Waldeck-Frankenberg,Olpe,Siegen-Wittgenstein,Hoexter,Holzminden,Kassel,Kassel (S),Hameln-Pyrmont,Northeim,Leverkusen (S),Oberbergischer Kreis,Solingen (S),Diepholz,Nienburg,Altenkirchen,Lahn-Dill-Kreis,Marburg-Biedenkopf,Westerwaldkreis
Bielefeld,0,15.627,5.989,5.498,1.629,1.488,787,548,420,397,396,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gütersloh,19.055,0,1415,1827,3355,517,4457,0,0,965,4635,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herford,12.218,2798,0,4415,446,12829,2963,477,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lippe,14.563,4796,7094,0,4727,2124,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,2042,286,0,0,3504,0,0,0,0,0,0,0,0,0,0
Paderborn,3.900,7888,402,3.075,0,0,0,0,471,480,0,5634,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,0,0,0,0,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minden-Lübbecke,3066,802,11655,1409,0,0,2153,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,3800,0,0,0,0,0,0,0,0,0,0,0,0,1639,1573,0,0,0,0
Osnabrück,1527,4159,2596,208,0,2371,0,0,0,1065,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region Hannover,616,0,222,0,0,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Düsseldorf (S),0,0,0,0,0,0,0,0,0,0,0,0,0,5132,0,0,0,0,3926,18913,2565,0,0,0,896,0,7977,0,0,0,0,565,0,0,587,0,0,0,0,0,373,0,0,0,762,0,0,0,3015,11269,1572,426,2272,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1727,0,1394,0,0,0,0,0,0
Münster (S),0,576,0,0,0,0,0,0,992,0,4365,0,1176,0,0,0,0,809,0,0,0,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,891,4032,5789,0,0,0,0,0,0,0,989,0,0,0,0,0,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
